Date,Open,High,Low,Actual,Adj Close,Volume,Predicted,Price Diff,MACD,Signal,RSI
2019-11-18,66.45,66.86,66.06,66.78,64.81,86703200,66.88432902,0.3485155999999989,2.125848252762381,2.0607356728941237,81.08312722345086
2019-11-19,66.97,67.0,66.35,66.57,64.61,76167200,66.72801736,-0.15631166000000007,2.092980064705017,2.0671845512563025,78.53747327248963
2019-11-20,66.39,66.52,65.1,65.8,63.86,106234400,65.93488204,-0.7931353199999904,1.9819525092218413,2.05013814284941,69.8749129840798
2019-11-21,65.92,66.0,65.29,65.5,63.57,121395200,65.67402279,-0.26085925000001,1.848447130889184,2.009799940457365,66.78420265599452
2019-11-22,65.65,65.79,65.21,65.44,63.52,65325200,65.57663308,-0.09738971000000163,1.7179976506469146,1.951439482495275,66.15396035215946
2019-11-25,65.68,66.61,65.63,66.59,64.63,84020400,66.60688429,1.030251210000003,1.687953212842892,1.8987422285647986,71.6719593371963
2019-11-26,66.74,66.79,65.62,66.07,64.13,105207600,66.16283855,-0.44404573999999286,1.60369670786433,1.839733124424705,66.40045015090456
2019-11-27,66.39,67.0,66.33,66.96,64.99,65235600,66.99388537,0.8310468199999974,1.590405181651903,1.7898675358701446,70.41167833644525
2019-11-29,66.65,67.0,66.47,66.81,64.84,46617600,66.88499082,-0.10889455000000225,1.549901505198818,1.7418743297358794,68.91831832841416
2019-12-02,66.82,67.06,65.86,66.04,64.1,94487200,66.16135414,-0.7236366799999985,1.439080658915671,1.681315595571838,61.685805536952955
2019-12-03,64.58,64.88,64.07,64.86,62.95,114430400,64.99234798,-1.169006159999995,1.2417243758286958,1.5933973516232096,52.57941531286068
2019-12-04,65.27,65.83,65.17,65.43,63.51,67181600,65.52742647,0.5350784899999894,1.1184198876457003,1.498401858827708,55.9614030028015
2019-12-05,65.95,66.47,65.68,66.39,64.44,74424400,66.42995832,0.9025318500000026,1.085649477956494,1.415851382653465,61.00556278954258
2019-12-06,66.87,67.75,66.82,67.68,65.68,106075600,67.65605927,1.2261009500000029,1.1505085646335402,1.3627828190494802,66.54996905320314
2019-12-09,67.5,67.7,66.23,66.73,64.76,128042400,66.78880689,-0.8672523799999965,1.112429403886111,1.3127121360168066,59.80599783867446
2019-12-10,67.15,67.52,66.46,67.12,65.14,90420400,67.18076825,0.39196135999999626,1.10102915653259,1.2703755401199635,61.529536212450694
2019-12-11,67.2,67.78,67.12,67.69,65.7,78756800,67.76122277,0.5804545200000035,1.1250200834603703,1.241304448788045,63.96183701330173
2019-12-12,66.94,68.14,66.83,67.86,65.87,137310400,67.90017747,0.13895469999999932,1.1445569056008225,1.2219549401506005,64.67910315757919
2019-12-13,67.86,68.82,67.73,68.79,66.76,133587600,68.81999674,0.9198192699999908,1.2210081832823647,1.2217655887769534,68.38604084300255
2019-12-16,69.25,70.2,69.25,69.96,67.9,128186000,69.99322268,1.173225940000009,1.3603246181236557,1.249477394646294,72.32164519313471
2019-12-17,69.89,70.44,69.7,70.1,68.04,114158400,70.19075814,0.19753545999999744,1.4651414873796682,1.2926102131929689,72.75865179593414
2019-12-18,69.95,70.47,69.78,69.93,67.88,116028400,70.05410963,-0.13664851000000056,1.5170049434933048,1.3374891592530362,71.28680553313531
2019-12-19,69.88,70.29,69.74,70.0,67.94,98369200,70.13965098,0.08554134999999974,1.545934945365886,1.3791783164756062,71.54208430211631
2019-12-20,70.56,70.66,69.64,69.86,67.8,275978000,70.08533586,-0.054315119999998274,1.5398153178259832,1.4113057167456817,70.19786001922486
2019-12-23,70.13,71.06,70.09,71.0,68.91,98572000,71.06088343,0.9755475700000034,1.6084131558750556,1.4507272045715567,74.41365846600158
2019-12-24,71.17,71.22,70.73,71.07,68.97,48478800,71.18924859,0.1283651600000013,1.6494124517154916,1.4904642540003437,74.65078209124096
2019-12-26,71.21,72.5,71.18,72.48,70.34,93121200,72.45594874,1.2667001499999913,1.7752163165282013,1.5474146665059152,78.89386160914327
2019-12-27,72.78,73.49,72.03,72.45,70.32,146266000,72.52476106,0.06881232000000637,1.8511570503099222,1.6081631432667165,78.59243321061473
2019-12-30,72.36,73.17,71.31,72.88,70.73,144114400,72.92022343,0.39546236999998996,1.9238609636681332,1.671302707347,79.78464706525621
2019-12-31,72.48,73.42,72.38,73.41,71.25,100805600,73.4712077,0.5509842700000007,2.0011775799611087,1.7372776818698217,81.17615978895385
2020-01-02,74.06,75.15,73.8,75.09,72.88,135480400,75.11336537,1.6421576700000031,2.17296492799737,1.8244151310953316,84.7577308712907
2020-01-03,74.29,75.14,74.12,74.36,72.17,146322800,74.48049455,-0.6328708199999937,2.224559403775075,1.9044439856312803,77.8282474496392
2020-01-06,73.45,74.99,73.19,74.95,72.74,118387200,74.94248501,0.46199045999999555,2.286696848857062,1.9808945582764368,79.30117398983997
2020-01-07,74.96,75.22,74.37,74.6,72.4,108872000,74.75518478,-0.18730023000000529,2.281400581056829,2.0409957628325155,76.0726050142645
2020-01-08,74.29,76.11,74.29,75.8,73.57,132079200,75.77959898,1.0244142000000096,2.3469787121984353,2.1021923527057,79.19942999989627
2020-01-09,76.81,77.61,76.55,77.41,75.13,170108400,77.45024623,1.6706472500000018,2.500044442156124,2.1817627705957845,82.50311227434463
2020-01-10,77.65,78.17,77.06,77.58,75.3,140644800,77.66057204,0.2103258100000005,2.605038453465909,2.266417907169809,82.81350959634693
2020-01-13,77.91,79.27,77.79,79.24,76.91,121532000,79.19994911,1.5393770700000005,2.7900333232560257,2.371140990387053,85.51560862738164
2020-01-14,79.18,79.39,78.04,78.17,75.87,161954400,78.32765425,-0.8722948600000109,2.817820946900625,2.460476981689767,77.10099083833991
